index,comment_id,hate_speech_score_pred,hate_speech_score_argmax,confidence_max_prob,confidence_entropy_certainty,n_digits_seen
0,47777,0.3681740644272522,-0.5,0.47751128356721967,0.41502250562921117,10
1,39773,-3.5148486053380945,-3.5,0.9765790860248805,0.9464802900829538,10
2,47101,3.251901637881696,3.5,0.7740934380394335,0.7335519988065771,10
3,43625,1.6694894093496428,1.5,0.8408902389524456,0.7924156166716405,10
4,12538,3.7794744867812646,3.5,0.7177562746766878,0.7379473143021764,10
5,11001,-0.9535058784068248,-0.5,0.4866506462084774,0.4501666029059217,10
6,13168,2.932881304580139,3.5,0.5717539476979279,0.5839011397221819,10
7,17034,3.5645143318835903,3.5,0.9272425056978505,0.8797338876342295,10
8,40171,1.8741884942179,1.5,0.628065034056185,0.7061199141480106,10
9,1006,3.5070092063061638,3.5,0.9481778306892874,0.8919672370485103,10
10,23643,-3.4978260115342006,-3.5,0.9857338261561742,0.9625995232988336,10
11,14241,1.6952416398736165,1.5,0.8214055138740578,0.7717552064825347,10
12,20583,-0.8999116081217274,-0.5,0.5285542057382661,0.46224011488169703,10
13,30879,1.735313388631,1.5,0.7902049451971587,0.71640983124089,10
14,29527,3.5118536380154124,3.5,0.9337317573563525,0.8695738155284288,10
15,23016,3.5147430081144457,3.5,0.9320318519532159,0.8677218820882231,10
16,22819,1.7219673354961746,1.5,0.7802866798407722,0.7639747877912775,10
17,36534,3.4683165149474244,3.5,0.9751836894724965,0.9404535549337893,10
18,7287,3.563700727498854,3.5,0.9347382368368802,0.8934721219363467,10
19,32074,-0.4442225400222819,-0.5,0.9209465045934796,0.8667832096293367,10
20,46526,1.5814641434212005,1.5,0.9166972115306797,0.870396795717552,10
21,30683,1.5348873650351857,1.5,0.9400065288169013,0.8822103505938454,10
22,15758,1.5484923963335082,1.5,0.9487987924636405,0.9080637673764707,10
23,14868,-0.44865933564668053,-0.5,0.9442590136382243,0.9029389257052383,10
24,11817,3.543458948012221,3.5,0.9555673707191304,0.9198884989158375,10
25,4373,1.218141831131459,1.5,0.7278722703670919,0.6128970054521019,10
26,1323,-2.591477412685157,-2.5,0.8644037396106596,0.8007099092612896,10
27,38126,1.6828129871444204,1.5,0.8178262684100569,0.7815705705190437,10
28,26362,-2.0842575260394023,-2.5,0.7596354930250276,0.6686367804401797,10
29,5410,1.6885611507704819,1.5,0.8151824304487246,0.7799678627452047,10
30,39276,3.383886931051147,3.5,0.9188050157608245,0.8471192417874532,10
31,32811,3.140178651469903,3.5,0.7175601708184142,0.6513772228976978,10
32,33729,1.5813370601438481,1.5,0.9098164496016659,0.8582023967799359,10
33,47480,3.4844170768665896,3.5,0.9802305528705044,0.9487704487089618,10
34,10694,-3.0489896663492617,-3.5,0.5602866373747112,0.6685954293712519,10
35,1031,2.411288785013312,1.5,0.501512114326578,0.5465211767587733,10
36,48834,-2.0360883079749006,-2.5,0.5799492266846265,0.6700915352628279,10
37,43341,3.483533462940714,3.5,0.966729457866471,0.923029438787926,10
38,47870,1.7515061143410526,1.5,0.750448442074541,0.7506746681474297,10
39,49895,-3.3319906712074534,-3.5,0.863613680340982,0.757861263506578,10
40,37291,3.4961365142409235,3.5,0.9779445284097722,0.9447125439731681,10
41,11121,1.624255672404466,1.5,0.8754791022899904,0.8355451492424781,10
42,38307,3.4612780316001217,3.5,0.9662788911943236,0.9211125759680228,10
43,19352,-2.3397761606349174,-2.5,0.8717721408359852,0.7669836325617574,10
44,24301,-2.4171306194956115,-2.5,0.9274109696394812,0.8695056154771009,10
45,23452,-2.110817493153182,-2.5,0.7351582052866406,0.6361163636900686,10
46,886,1.5520837262016105,1.5,0.9483371673610732,0.9101246853809811,10
47,32374,3.5139154292762704,3.5,0.9840418061272439,0.9628671248874459,10
48,25790,3.4856825202323543,3.5,0.9830295991523701,0.954914467108319,10
49,5611,0.10512127237867673,-0.5,0.6614550058273914,0.625761007874353,10
50,44643,3.4290354809537065,3.5,0.9456688477706431,0.8913757243569603,10
51,31537,2.0847460613821167,1.5,0.48755062825481094,0.6041825813152921,10
52,11238,3.5122905638312263,3.5,0.9747117505895584,0.94143754417066,10
53,19943,1.9433458726748185,1.5,0.564180763836438,0.6804591319980586,10
54,20844,3.943021771409255,3.5,0.5484867853917467,0.6905311941668953,10
55,39016,3.5436570240087413,3.5,0.9528006261150154,0.9147669808614066,10
56,42490,-0.40774264982375213,-0.5,0.906173172118901,0.8612117165510508,10
57,1402,-0.8592459717259114,-0.5,0.566537044316921,0.5090755606693042,10
58,41581,2.630656461606488,3.5,0.5557682224892524,0.6677627272794884,10
59,48081,1.5545060402131432,1.5,0.9321261931166858,0.8787373929277962,10
60,12449,3.5824474591979727,3.5,0.9135676913333336,0.86864963390557,10
61,46066,0.8680326704888016,1.5,0.4479473493302111,0.4374979919801193,10
62,37829,2.8364249377051474,3.5,0.6126714681372929,0.6018918664157595,10
63,1192,3.1065349953842873,3.5,0.756063391277325,0.682376821353444,10
64,44768,1.9725597077618464,1.5,0.6285628488724063,0.6187653020352808,10
65,33748,-1.3674101622461903,-1.5,0.5234352067550101,0.4771324306113228,10
66,13741,1.545706849532642,1.5,0.9516286532398202,0.9133217812509912,10
67,25323,1.8872712348816232,1.5,0.6338921399400375,0.6789038981027287,10
68,6831,3.549754480237926,3.5,0.9481846761706837,0.9095227958328516,10
