comment_id,status,confidence,index
39073,2.0,0.6607001483579003,0
13076,2.0,0.6303674567658735,1
21293,,0.0,2
43507,1.0,0.41426227787635905,3
29154,2.0,0.9267420831907363,4
43935,0.0,0.4146679924103394,5
20384,0.0,0.2410349306525453,6
15802,3.0,0.5206793323770716,7
1253,2.0,0.8681186534097852,8
20070,0.0,0.7698386527721581,9
20065,2.0,0.9751560166881889,10
12121,2.0,0.9873558638985312,11
38267,3.0,0.48876776652258724,12
809,0.0,0.7522159675862532,13
20021,0.0,0.7163592725401419,14
8369,0.0,0.6181019665392269,15
20043,0.0,0.6519271601467728,16
11064,3.0,0.29857940361910246,17
20004,0.0,0.5688643244355912,18
20048,2.0,0.506382957796507,19
19671,0.0,0.9426464581277917,20
20012,,0.0,21
42092,,0.0,22
8937,2.0,0.6907063522332161,23
19815,0.0,0.8901080526970244,24
41212,0.0,0.35046365489842674,25
20007,0.0,0.5679481172351888,26
6214,3.0,0.3552670898937626,27
37970,2.0,0.7127248392616431,28
20016,,0.0,29
28621,2.0,0.6095426014393598,30
25932,0.0,0.7753829161122457,31
38787,2.0,0.9566369666146998,32
20029,0.0,0.9490221536135506,33
2009,0.0,0.5317512265272514,34
38423,,0.0,35
20062,2.0,0.9274681343731008,36
29710,,0.0,37
34899,2.0,0.6170207422282737,38
20064,2.0,0.9996288008632693,39
20028,0.0,0.8984477445573872,40
13756,0.0,0.602125340788228,41
20067,2.0,0.9903654154254816,42
19343,,0.0,43
23410,2.0,0.812333783929501,44
20018,0.0,0.49884218033785555,45
11248,2.0,0.9578701270144611,46
15312,0.0,0.44179639220541483,47
20014,0.0,0.4882737196710905,48
20053,2.0,0.7595593062561795,49
42897,3.0,0.35225588318706796,50
20033,,0.0,51
26548,,0.0,52
20034,0.0,0.8879174368622724,53
4458,2.0,0.6377951776993318,54
42704,0.0,0.5980099195470143,55
43793,0.0,0.9162383215294906,56
2173,,0.0,57
49597,0.0,0.914749019945026,58
11466,0.0,0.32160237743769654,59
20005,,0.0,60
42470,0.0,0.991796751144799,61
42646,0.0,0.7140255827839452,62
20009,,0.0,63
48425,0.0,0.46041198372446035,64
8041,0.0,0.41185438038585254,65
16493,2.0,0.9935222029338577,66
20057,,0.0,67
20055,2.0,0.9450248934160776,68
13674,0.0,0.40043431305477073,69
22918,3.0,0.4569913981746807,70
20020,0.0,0.591267308423508,71
24631,0.0,0.8416887174550001,72
