index,comment_id,annotator_id,p_yes,p_no,pred_yes,confidence_max,saw_yes,saw_no
0,47777,10873,3.269926952441622e-05,0.9999673007304756,0,0.9999673007304756,1,1
1,39773,2790,4.116364449076007e-07,0.9999995883635551,0,0.9999995883635551,1,1
2,47101,3379,0.999301324193063,0.0006986758069370569,1,0.999301324193063,1,1
3,43625,7365,0.9532750453562491,0.046724954643750975,1,0.9532750453562491,1,1
4,12538,488,0.9999877809293963,1.2219070603725358e-05,1,0.9999877809293963,1,1
5,11001,527,0.016657041473677966,0.9833429585263221,0,0.9833429585263221,1,1
6,13168,3275,0.9998665800308351,0.00013341996916505639,1,0.9998665800308351,1,1
7,17034,6801,0.9999978766212766,2.1233787234698723e-06,1,0.9999978766212766,1,1
8,40171,10363,0.9539660930200907,0.046033906979909334,1,0.9539660930200907,1,1
9,1006,10615,0.9999973158007793,2.6841992206324645e-06,1,0.9999973158007793,1,1
10,23643,9750,2.0611536181902033e-09,0.9999999979388463,0,0.9999999979388463,0,1
11,14241,7331,0.9907319863454372,0.00926801365456275,1,0.9907319863454372,1,1
12,20583,7259,1.99472995931691e-06,0.9999980052700407,0,0.9999980052700407,1,1
13,30879,1329,0.22270013882530884,0.7772998611746911,0,0.7772998611746911,1,1
14,29527,2171,0.9833429602348458,0.016657039765154254,1,0.9833429602348458,1,1
15,23016,10173,0.999991986502631,8.013497368876398e-06,1,0.999991986502631,1,1
16,22819,9912,0.8688267813328977,0.13117321866710235,1,0.8688267813328977,1,1
17,36534,9312,0.9999997580113756,2.419886242674064e-07,1,0.9999997580113756,1,1
18,7287,4546,0.9999847931589495,1.5206841050465529e-05,1,0.9999847931589495,1,1
19,32074,5487,1.191108299540981e-06,0.9999988088917006,0,0.9999988088917006,1,1
20,46526,3863,0.9998464376669838,0.00015356233301625194,1,0.9998464376669838,1,1
21,30683,2576,0.8596637577007394,0.14033624229926062,1,0.8596637577007394,1,1
22,15758,8749,0.022977367902892003,0.9770226320971079,0,0.9770226320971079,1,1
23,14868,3948,1.3081765876704983e-06,0.9999986918234123,0,0.9999986918234123,1,1
24,11817,3559,0.999999100903661,8.990963390329055e-07,1,0.999999100903661,1,1
25,4373,5717,0.5583269943353745,0.44167300566462553,1,0.5583269943353745,1,1
26,1323,2017,0.0002341358945379802,0.999765864105462,0,0.999765864105462,1,1
27,38126,6701,0.9981613351430404,0.0018386648569596496,1,0.9981613351430404,1,1
28,26362,2689,0.00034599152071593996,0.9996540084792841,0,0.9996540084792841,1,1
29,5410,123,0.5736784074525096,0.4263215925474903,1,0.5736784074525096,1,1
30,39276,44,0.9999617708946525,3.8229105347444895e-05,1,0.9999617708946525,1,1
31,32811,3540,0.9949396676304292,0.005060332369570844,1,0.9949396676304292,1,1
32,33729,3610,0.5506073655352404,0.44939263446475963,1,0.5506073655352404,1,1
33,47480,8856,0.9997468435335649,0.0002531564664351669,1,0.9997468435335649,1,1
34,10694,8325,3.205828243791165e-07,0.9999996794171757,0,0.9999996794171757,1,1
35,1031,5754,0.9664104962847373,0.03358950371526272,1,0.9664104962847373,1,1
36,48834,8072,0.023689468542268728,0.9763105314577313,0,0.9763105314577313,1,1
37,43341,5860,0.9999697580272713,3.0241972728694475e-05,1,0.9999697580272713,1,1
38,47870,227,0.9999711428723665,2.885712763354211e-05,1,0.9999711428723665,1,1
39,49895,9488,5.122898422828306e-07,0.9999994877101577,0,0.9999994877101577,1,1
40,37291,8201,0.9991832617281273,0.0008167382718725503,1,0.9991832617281273,1,1
41,11121,2218,0.0054692736260654245,0.9945307263739346,0,0.9945307263739346,1,1
42,38307,8115,0.1895210821742346,0.8104789178257654,0,0.8104789178257654,1,1
43,19352,9715,1.4367504654972023e-06,0.9999985632495344,0,0.9999985632495344,1,1
44,24301,2593,1.8162224038126738e-06,0.9999981837775962,0,0.9999981837775962,1,1
45,23452,4616,0.0427221987653165,0.9572778012346834,0,0.9572778012346834,1,1
46,886,9886,0.9979170289691619,0.0020829710308380607,1,0.9979170289691619,1,1
47,32374,5521,0.9999960330155334,3.966984466691675e-06,1,0.9999960330155334,1,1
48,25790,7477,0.9999516743812547,4.8325618745279495e-05,1,0.9999516743812547,1,1
49,5611,6998,0.1968261942204597,0.8031738057795402,0,0.8031738057795402,1,1
50,44643,8824,0.9982725409621235,0.001727459037876514,1,0.9982725409621235,1,1
51,31537,6314,0.9546474168650673,0.045352583134932734,1,0.9546474168650673,1,1
52,11238,8609,0.999999277556069,7.224439309499526e-07,1,0.999999277556069,1,1
53,19943,1532,0.2146914191122419,0.785308580887758,0,0.785308580887758,1,1
54,20844,1782,0.9996485618047741,0.0003514381952258272,1,0.9996485618047741,1,1
