comment_id,violence,confidence,index
39073,0.0,0.6791842020947028,0
13076,0.0,0.4963066561074758,1
21293,,0.0,2
43507,0.0,0.4857721078803274,3
29154,0.0,0.9978428030636126,4
43935,3.0,0.8894846609987156,5
20384,,0.0,6
15802,3.0,0.6554722685598027,7
1253,0.0,0.8468632407097837,8
20070,4.0,0.4843453716785054,9
20065,0.0,0.9996461928843753,10
12121,0.0,0.9998591144840057,11
38267,2.0,0.47933576963913177,12
809,4.0,0.9177035661170416,13
20021,4.0,0.5967516159556314,14
8369,4.0,0.816112875923004,15
20043,,0.0,16
11064,3.0,0.8167833942018813,17
20004,4.0,0.9058796825460413,18
20048,0.0,0.31844615022958617,19
19671,4.0,0.7776068446825773,20
20012,,0.0,21
42092,,0.0,22
8937,0.0,0.9102421749970282,23
19815,3.0,0.5861945356664555,24
41212,3.0,0.7215820583133755,25
20007,4.0,0.5935247868439796,26
6214,2.0,0.3569452662226159,27
37970,0.0,0.9942282521511143,28
20016,,0.0,29
28621,0.0,0.5545834552133623,30
25932,4.0,0.7862810038348357,31
38787,0.0,0.9713899632959022,32
20029,4.0,0.9431939961892263,33
2009,4.0,0.4208384067229511,34
38423,,0.0,35
20062,0.0,0.9995501873220343,36
29710,,0.0,37
34899,1.0,0.6444301689952516,38
20064,0.0,0.9998800898331569,39
20028,4.0,0.8144375189714389,40
13756,3.0,0.45008224664824226,41
20067,0.0,0.9995831797320077,42
19343,,0.0,43
23410,0.0,0.7780024874922824,44
20018,4.0,0.49899381353175304,45
11248,0.0,0.99848904358834,46
15312,3.0,0.7471699125292995,47
20014,3.0,0.6334669198218377,48
20053,1.0,0.5229357278186862,49
42897,0.0,0.531536632363278,50
20033,,0.0,51
26548,3.0,0.488849345251341,52
20034,4.0,0.9618061753077215,53
4458,1.0,0.5296301703631555,54
42704,4.0,0.39487640181468886,55
43793,3.0,0.6141817967555382,56
2173,,0.0,57
49597,3.0,0.5104605306849819,58
11466,3.0,0.7104865588827336,59
20005,,0.0,60
42470,2.0,0.42484978647281113,61
42646,4.0,0.8972139857249787,62
20009,,0.0,63
48425,2.0,0.4436232532862685,64
8041,3.0,0.48967974551473487,65
16493,0.0,0.9998846187221477,66
20057,,0.0,67
20055,0.0,0.9810547821835429,68
13674,2.0,0.4850641421489724,69
22918,3.0,0.714374206770317,70
20020,3.0,0.529844594884857,71
24631,4.0,0.934984184458601,72
6616,0.0,0.9917629809564086,73
17732,1.0,0.629066264325055,74
10476,0.0,0.9998320623294903,75
2747,0.0,0.8707647605692095,76
15026,3.0,0.5902783218472539,77
31779,0.0,0.9968657096808953,78
30261,2.0,0.4988389096843722,79
8503,1.0,0.4365011655892709,80
30061,,0.0,81
2952,0.0,0.8660967642147659,82
25918,4.0,0.6234884096632699,83
18090,4.0,0.91344435014879,84
23301,,0.0,85
39711,0.0,0.999904760853382,86
20052,0.0,0.8901506631718765,87
18496,0.0,0.9950998322304568,88
10031,0.0,0.9968307640237057,89
38528,0.0,0.9925428606306725,90
28547,,0.0,91
8603,,0.0,92
17157,0.0,0.5377574383024484,93
