comment_id,dehumanize,confidence,index
39073,2.0,0.47327568640162937,0
13076,3.0,0.5155219973785407,1
21293,,0.0,2
43507,3.0,0.4153492090847773,3
29154,2.0,0.43607403731712424,4
43935,4.0,0.6173706855127202,5
20384,,0.0,6
15802,4.0,0.8726447175594715,7
1253,2.0,0.5975195143985712,8
20070,4.0,0.914946061073593,9
20065,0.0,0.7072524971804953,10
12121,1.0,0.6044546826665181,11
38267,3.0,0.7944778490648198,12
809,4.0,0.9080100312260083,13
20021,4.0,0.7881435992107798,14
8369,4.0,0.8532000251619475,15
20043,4.0,0.9913155091698513,16
11064,4.0,0.7100271014191819,17
20004,4.0,0.566397701018298,18
20048,3.0,0.6067555309526934,19
19671,4.0,0.9861852360081927,20
20012,,0.0,21
42092,,0.0,22
8937,2.0,0.5408110311542742,23
19815,4.0,0.8732930877511479,24
41212,3.0,0.6253012775348381,25
20007,4.0,0.9817251778422,26
6214,3.0,0.6353935163388761,27
37970,2.0,0.4954631869291831,28
20016,,0.0,29
28621,2.0,0.519174982287596,30
25932,4.0,0.9542526541903198,31
38787,1.0,0.5238997184865166,32
20029,4.0,0.9977395488951496,33
2009,4.0,0.8721385632613124,34
38423,4.0,0.5439568539610673,35
20062,0.0,0.6231083871899346,36
29710,,0.0,37
34899,2.0,0.5076483191520269,38
20064,0.0,0.9461967991423554,39
20028,4.0,0.6672144277573044,40
13756,4.0,0.5907655304543379,41
20067,0.0,0.9122644208188077,42
19343,,0.0,43
23410,2.0,0.565812167753982,44
20018,4.0,0.9872648761761631,45
11248,1.0,0.43962101480857074,46
15312,3.0,0.547660071753246,47
20014,4.0,0.7878267911619216,48
20053,2.0,0.483285185186372,49
42897,3.0,0.6948927116646033,50
20033,,0.0,51
26548,3.0,0.5401508456685696,52
20034,4.0,0.9849750501832818,53
4458,2.0,0.5164723829887803,54
42704,4.0,0.9372326461666424,55
43793,3.0,0.550301731230038,56
2173,4.0,0.9115227457277433,57
49597,4.0,0.9171058827687039,58
11466,4.0,0.6562968145981201,59
20005,,0.0,60
42470,4.0,0.8174614674954517,61
42646,4.0,0.9877134659105749,62
20009,,0.0,63
48425,3.0,0.7475816833507222,64
8041,3.0,0.5152135548046791,65
16493,0.0,0.49287520755639425,66
20057,,0.0,67
20055,1.0,0.7271819835831004,68
13674,3.0,0.7671609420330392,69
22918,3.0,0.5168095178819982,70
20020,4.0,0.9846931694848907,71
24631,4.0,0.9927956518472242,72
6616,1.0,0.4557636539030694,73
17732,3.0,0.5653006554503524,74
10476,0.0,0.6577424775113486,75
2747,2.0,0.5367427064641838,76
15026,4.0,0.8777447974845111,77
31779,1.0,0.6181919222125657,78
30261,3.0,0.6918307356312943,79
8503,2.0,0.47317092817737477,80
30061,,0.0,81
2952,2.0,0.5575417081601562,82
25918,4.0,0.970289524120792,83
18090,4.0,0.7885710297836668,84
23301,,0.0,85
39711,0.0,0.9948791388714014,86
20052,2.0,0.5227548519193633,87
18496,1.0,0.5054789765538447,88
10031,0.0,0.6313846403590658,89
38528,1.0,0.6171087565891088,90
28547,,0.0,91
8603,,0.0,92
17157,3.0,0.708618135643721,93
45259,3.0,0.5505053618427919,94
41924,3.0,0.4852357945960898,95
15118,4.0,0.8747472205721517,96
20010,,0.0,97
4762,2.0,0.5882021192401482,98
36873,2.0,0.5430590749258674,99
20015,4.0,0.9685180576218934,100
5212,3.0,0.5745332474447411,101
25804,,0.0,102
25862,4.0,0.5639080596183396,103
23517,4.0,0.7856112694603925,104
4145,4.0,0.9145311163110134,105
21006,,0.0,106
39561,4.0,0.9329803202884817,107
1550,3.0,0.5808872254923212,108
29939,4.0,0.6920006089070369,109
20013,4.0,0.986776065915462,110
22394,1.0,0.591340123452866,111
34734,,0.0,112
40455,1.0,0.6610524247123647,113
20068,,0.0,114
21406,4.0,0.842203077179889,115
30665,2.0,0.5359886648533227,116
20026,4.0,0.9615135884548613,117
20059,0.0,0.552655301292562,118
8994,1.0,0.6826200743995138,119
20024,3.0,0.74228885703308,120
4587,4.0,0.8402657992846781,121
26493,1.0,0.4684516622760059,122
20038,4.0,0.933064176926089,123
43442,4.0,0.9383025870047681,124
16178,4.0,0.631361778447729,125
47205,4.0,0.9060192086819127,126
26842,2.0,0.6006826643703416,127
21275,,0.0,128
27786,4.0,0.9786966883632942,129
32962,4.0,0.8381690593556003,130
49016,4.0,0.6184939949037412,131
20045,,0.0,132
7479,3.0,0.6620323834606552,133
20069,0.0,0.7106850942678895,134
20088,,0.0,135
2088,4.0,0.4952598424229392,136
18346,3.0,0.6353928346359548,137
26170,3.0,0.6673550262631146,138
36180,1.0,0.672955433226529,139
20008,,0.0,140
22489,4.0,0.8510121425203651,141
19431,4.0,0.987084463862744,142
1645,,0.0,143
28525,1.0,0.5300634030171826,144
20017,4.0,0.964280969469597,145
28203,,0.0,146
12852,2.0,0.5689405184679677,147
31411,,0.0,148
17197,1.0,0.6328657271820335,149
6827,4.0,0.9900519270392499,150
13252,3.0,0.7473772730466167,151
28929,3.0,0.41597699413144623,152
24983,4.0,0.6245944627348291,153
20925,2.0,0.5624377271707868,154
9989,0.0,0.43558981476996383,155
23012,1.0,0.6713215419712504,156
20685,,0.0,157
20061,0.0,0.9851595543493238,158
6032,,0.0,159
616,4.0,0.9833277779905539,160
46051,1.0,0.5256673546901309,161
23093,4.0,0.9135995398851133,162
20851,4.0,0.8701554152472585,163
20025,4.0,0.8740732839780295,164
20054,2.0,0.5261347256766554,165
39129,2.0,0.5591547958709892,166
18417,2.0,0.5857337894476443,167
47401,2.0,0.4644320039637302,168
47047,0.0,0.6686989065910572,169
28486,3.0,0.8089337321395,170
30007,,0.0,171
20998,3.0,0.8850310984981437,172
20050,3.0,0.6289272847092683,173
32127,1.0,0.740972730528921,174
17959,4.0,0.9340429501017942,175
12278,4.0,0.952343476581301,176
48434,2.0,0.5764599355412191,177
23725,4.0,0.9719026036945584,178
38133,2.0,0.37704859691973325,179
19687,2.0,0.5505214402890909,180
19040,1.0,0.5741917223680775,181
38354,4.0,0.8847716957669273,182
27791,,0.0,183
1787,4.0,0.94326706933106,184
26953,3.0,0.7311000189679975,185
2317,4.0,0.96442508959065,186
20041,3.0,0.568360757897229,187
6830,3.0,0.5632841379096778,188
48629,3.0,0.8613581000599151,189
38703,,0.0,190
19705,,0.0,191
10043,,0.0,192
14213,,0.0,193
46750,3.0,0.8900347740827984,194
39511,4.0,0.7211529282327774,195
8717,3.0,0.7925844816405365,196
13734,,0.0,197
48979,3.0,0.7469569329546923,198
28698,3.0,0.7334825408508806,199
