comment_id,hatespeech,confidence,index
39073,1.0,0.0,0
13076,1.0,0.0,1
21293,,0.0,2
43507,1.0,0.0,3
29154,1.0,0.0,4
43935,1.0,0.0,5
20384,,0.0,6
15802,,0.0,7
1253,1.0,0.0,8
20070,1.0,0.0,9
20065,1.0,0.0,10
12121,1.0,0.0,11
38267,1.0,0.0,12
809,1.0,0.0,13
20021,,0.0,14
8369,1.0,0.0,15
20043,,0.0,16
11064,,0.0,17
20004,,0.0,18
20048,,0.0,19
19671,,0.0,20
20012,,0.0,21
42092,,0.0,22
8937,1.0,0.0,23
19815,,0.0,24
41212,1.0,0.0,25
20007,1.0,0.0,26
6214,1.0,0.0,27
37970,1.0,0.0,28
20016,,0.0,29
28621,1.0,0.0,30
25932,,0.0,31
38787,1.0,0.0,32
20029,1.0,0.0,33
2009,,0.0,34
38423,,0.0,35
20062,1.0,0.0,36
29710,,0.0,37
34899,1.0,0.0,38
20064,1.0,0.0,39
20028,,0.0,40
13756,,0.0,41
20067,1.0,0.0,42
19343,,0.0,43
23410,1.0,0.0,44
20018,,0.0,45
11248,1.0,0.0,46
15312,1.0,0.0,47
20014,1.0,0.0,48
20053,1.0,0.0,49
42897,1.0,0.0,50
20033,,0.0,51
26548,1.0,0.0,52
20034,,0.0,53
4458,1.0,0.0,54
42704,,0.0,55
43793,1.0,0.0,56
2173,,0.0,57
49597,,0.0,58
11466,,0.0,59
20005,,0.0,60
42470,1.0,0.0,61
42646,1.0,0.0,62
20009,,0.0,63
48425,1.0,0.0,64
8041,1.0,0.0,65
16493,1.0,0.0,66
20057,,0.0,67
20055,1.0,0.0,68
13674,1.0,0.0,69
22918,1.0,0.0,70
20020,1.0,0.0,71
24631,,0.0,72
6616,1.0,0.0,73
17732,1.0,0.0,74
10476,1.0,0.0,75
2747,1.0,0.0,76
15026,1.0,0.0,77
31779,1.0,0.0,78
30261,1.0,0.0,79
8503,1.0,0.0,80
30061,,0.0,81
2952,1.0,0.0,82
25918,,0.0,83
18090,,0.0,84
23301,,0.0,85
39711,1.0,0.0,86
20052,1.0,0.0,87
18496,1.0,0.0,88
10031,1.0,0.0,89
38528,1.0,0.0,90
28547,,0.0,91
8603,,0.0,92
17157,1.0,0.0,93
45259,1.0,0.0,94
41924,1.0,0.0,95
15118,,0.0,96
20010,,0.0,97
4762,1.0,0.0,98
36873,1.0,0.0,99
20015,,0.0,100
5212,1.0,0.0,101
25804,,0.0,102
25862,1.0,0.0,103
23517,1.0,0.0,104
4145,,0.0,105
21006,,0.0,106
39561,0.0,0.0,107
1550,1.0,0.0,108
29939,1.0,0.0,109
20013,1.0,0.0,110
22394,1.0,0.0,111
34734,,0.0,112
40455,1.0,0.0,113
20068,,0.0,114
21406,,0.0,115
30665,1.0,0.0,116
20026,,0.0,117
20059,1.0,0.0,118
8994,1.0,0.0,119
20024,1.0,0.0,120
4587,1.0,0.0,121
26493,1.0,0.0,122
20038,,0.0,123
43442,1.0,0.0,124
16178,,0.0,125
47205,,0.0,126
26842,1.0,0.0,127
21275,,0.0,128
27786,,0.0,129
32962,,0.0,130
49016,1.0,0.0,131
20045,,0.0,132
7479,,0.0,133
20069,1.0,0.0,134
20088,,0.0,135
2088,,0.0,136
18346,,0.0,137
26170,,0.0,138
36180,1.0,0.0,139
20008,,0.0,140
22489,,0.0,141
19431,,0.0,142
1645,,0.0,143
28525,1.0,0.0,144
20017,,0.0,145
28203,,0.0,146
12852,1.0,0.0,147
31411,,0.0,148
17197,1.0,0.0,149
6827,,0.0,150
13252,1.0,0.0,151
28929,1.0,0.0,152
24983,1.0,0.0,153
20925,1.0,0.0,154
9989,1.0,0.0,155
23012,1.0,0.0,156
20685,,0.0,157
20061,1.0,0.0,158
6032,,0.0,159
616,,0.0,160
46051,1.0,0.0,161
23093,,0.0,162
20851,1.0,0.0,163
20025,,0.0,164
20054,1.0,0.0,165
39129,1.0,0.0,166
18417,1.0,0.0,167
47401,1.0,0.0,168
47047,1.0,0.0,169
28486,1.0,0.0,170
30007,,0.0,171
20998,1.0,0.0,172
20050,1.0,0.0,173
32127,1.0,0.0,174
17959,,0.0,175
12278,,0.0,176
48434,1.0,0.0,177
23725,,0.0,178
38133,1.0,0.0,179
19687,1.0,0.0,180
19040,1.0,0.0,181
38354,,0.0,182
27791,,0.0,183
1787,,0.0,184
26953,1.0,0.0,185
2317,,0.0,186
20041,1.0,0.0,187
6830,1.0,0.0,188
48629,1.0,0.0,189
38703,,0.0,190
19705,,0.0,191
10043,,0.0,192
14213,,0.0,193
46750,1.0,0.0,194
39511,,0.0,195
8717,1.0,0.0,196
13734,,0.0,197
48979,1.0,0.0,198
28698,1.0,0.0,199
