comment_id,hatespeech,confidence,index
39073,1.0,0.7018054604252411,0
13076,1.0,0.8042068824178001,1
21293,,0.0,2
43507,1.0,0.7362898041439278,3
29154,1.0,0.770165705570804,4
43935,1.0,0.5448402042085474,5
20384,,0.0,6
15802,1.0,0.49433181385373176,7
1253,1.0,0.9331285186998939,8
20070,2.0,0.8408797622056121,9
20065,1.0,0.7652177735951962,10
12121,1.0,0.8033115339709174,11
38267,1.0,0.8825214281017202,12
809,1.0,0.6088216285042203,13
20021,2.0,0.6313734445048121,14
8369,2.0,0.6552689254297335,15
20043,0.0,0.9716522339151178,16
11064,1.0,0.7092090231258978,17
20004,0.0,0.8767050900230149,18
20048,1.0,0.7720419626767411,19
19671,0.0,0.8828034087269241,20
20012,,0.0,21
42092,2.0,0.5433445460226645,22
8937,1.0,0.9540747745043412,23
19815,0.0,0.6616842387231308,24
41212,1.0,0.5666484577778774,25
20007,1.0,0.4502207220539601,26
6214,1.0,0.7800919608577551,27
37970,1.0,0.8868419717097933,28
20016,2.0,0.7338375154284411,29
28621,1.0,0.8699373100818595,30
25932,0.0,0.6931478182701342,31
38787,1.0,0.8084908188124337,32
20029,0.0,0.7901199652047572,33
2009,0.0,0.4365823737503394,34
38423,,0.0,35
20062,1.0,0.7162533244450308,36
29710,0.0,0.4284564722531069,37
34899,1.0,0.8819145528354961,38
20064,1.0,0.565575164146244,39
20028,0.0,0.9279632769596139,40
13756,1.0,0.6005517811202441,41
20067,2.0,0.5040379207938769,42
19343,0.0,0.7445277807701915,43
23410,1.0,0.8789894793706277,44
20018,0.0,0.5034263762360195,45
11248,1.0,0.8776594976737141,46
15312,1.0,0.42728544729899015,47
20014,2.0,0.524521657938503,48
20053,1.0,0.7691710722527562,49
42897,1.0,0.8202563210583986,50
20033,,0.0,51
26548,1.0,0.7417540750902044,52
20034,0.0,0.9188121577433215,53
4458,1.0,0.8996271029159629,54
42704,1.0,0.35613562819204836,55
43793,2.0,0.4568986594379472,56
2173,0.0,0.6304946160406874,57
49597,0.0,0.4660767469455498,58
11466,1.0,0.5296061789087536,59
20005,0.0,0.5031210022097747,60
42470,1.0,0.48775700080370804,61
42646,1.0,0.5351883731907966,62
20009,2.0,0.3297266344520587,63
48425,1.0,0.6047681381247915,64
8041,1.0,0.7956521978959141,65
16493,1.0,0.8337359923956191,66
20057,,0.0,67
