comment_id,humiliate,confidence,index
39073,2.0,0.8087615101269994,0
13076,3.0,0.5506979403048898,1
21293,4.0,0.5523918704539963,2
43507,4.0,0.5348904171449387,3
29154,2.0,0.6585787703917422,4
43935,4.0,0.9898686251063962,5
20384,4.0,0.9170893402943933,6
15802,4.0,0.9878637461542961,7
1253,2.0,0.6903626329040748,8
20070,4.0,0.9933072665949141,9
20065,2.0,0.48700480501543697,10
12121,2.0,0.5190896423292786,11
38267,3.0,0.6502706582069612,12
809,4.0,0.9945767008373718,13
20021,4.0,0.9922578036550624,14
8369,4.0,0.9869972423397386,15
20043,4.0,0.9982542526839495,16
11064,4.0,0.9786376589025828,17
20004,4.0,0.991575527950043,18
20048,4.0,0.35587263372392985,19
19671,4.0,0.9991969363596725,20
20012,,0.0,21
42092,4.0,0.8135865703429485,22
8937,2.0,0.7942028494887515,23
19815,4.0,0.9874352442086449,24
41212,4.0,0.9598782093796584,25
20007,4.0,0.9974871993364423,26
6214,4.0,0.5010284307290218,27
37970,2.0,0.6762967871587557,28
20016,4.0,0.6838558078152003,29
28621,2.0,0.6704294655142428,30
25932,4.0,0.9963756312608464,31
38787,2.0,0.7433948476337706,32
20029,4.0,0.9996002127180205,33
2009,4.0,0.9870989823803564,34
38423,4.0,0.5400707813962377,35
20062,2.0,0.5661290019411362,36
29710,4.0,0.9637511969756614,37
34899,2.0,0.5228937131576818,38
20064,0.0,0.7144837522721582,39
20028,4.0,0.998523986584091,40
13756,4.0,0.9334486458542561,41
20067,1.0,0.3832538374679258,42
19343,,0.0,43
23410,2.0,0.7057314561694937,44
20018,4.0,0.9842247999958287,45
11248,2.0,0.7128290545168801,46
15312,4.0,0.9891088016878302,47
20014,4.0,0.9972929522510083,48
20053,2.0,0.6921895228087483,49
42897,4.0,0.6146555049592808,50
20033,,0.0,51
26548,4.0,0.7640705261061407,52
20034,4.0,0.9976806914479648,53
4458,3.0,0.5553491247187315,54
42704,4.0,0.9960271040249407,55
43793,4.0,0.9651180267904004,56
2173,4.0,0.9843324348331808,57
49597,4.0,0.9964750525312565,58
11466,4.0,0.9833125630841884,59
20005,,0.0,60
42470,4.0,0.9990487810721974,61
42646,4.0,0.9850231662080644,62
20009,,0.0,63
48425,4.0,0.9888211656541346,64
8041,4.0,0.9873359908529771,65
16493,2.0,0.47851963067817405,66
20057,4.0,0.8145211892994372,67
20055,2.0,0.6845226359215917,68
13674,4.0,0.9753842629736383,69
22918,4.0,0.7471899089208281,70
20020,4.0,0.9960169331596743,71
24631,4.0,0.9935484435697357,72
6616,2.0,0.5854856493847733,73
17732,2.0,0.6008228155261407,74
10476,2.0,0.5926605238654102,75
2747,2.0,0.6969589739420301,76
15026,4.0,0.9990232005550578,77
31779,2.0,0.5421575748814444,78
30261,4.0,0.7685080329036141,79
8503,2.0,0.6989620106030249,80
30061,4.0,0.708591611346692,81
2952,2.0,0.7916208998491673,82
25918,4.0,0.9990950674731731,83
18090,4.0,0.9923618054455502,84
23301,,0.0,85
39711,0.0,0.510912401847462,86
20052,2.0,0.6977022030771878,87
18496,2.0,0.6974183720031172,88
10031,2.0,0.3954309805532243,89
38528,2.0,0.6628976596295848,90
28547,,0.0,91
8603,4.0,0.7087051279449972,92
17157,4.0,0.8247687946852257,93
45259,4.0,0.9817645869133275,94
41924,2.0,0.3933515309431134,95
15118,4.0,0.8204943696265843,96
20010,4.0,0.5404077946530917,97
4762,2.0,0.7356160630227865,98
36873,2.0,0.8241444526666675,99
20015,4.0,0.9848824235232949,100
5212,3.0,0.506447130444839,101
25804,4.0,0.8375712911300983,102
25862,4.0,0.9803130078223719,103
23517,4.0,0.9440181925742945,104
4145,4.0,0.9932054185397925,105
21006,,0.0,106
39561,4.0,0.9953164903484734,107
1550,4.0,0.6174093431904819,108
29939,4.0,0.9930315264493059,109
20013,4.0,0.9981706290369905,110
22394,2.0,0.5621006783301011,111
34734,4.0,0.9587243518123766,112
40455,2.0,0.4777697481893459,113
20068,4.0,0.7719580547140331,114
21406,4.0,0.9978765135519562,115
30665,2.0,0.7792084934341491,116
20026,4.0,0.9854417062208043,117
20059,1.0,0.40290373473807617,118
8994,1.0,0.5725016763473607,119
20024,2.0,0.6197685721807131,120
4587,4.0,0.9917645059057995,121
26493,2.0,0.5490108735563495,122
20038,4.0,0.9939191440300564,123
43442,4.0,0.9981980665331365,124
16178,4.0,0.9951392615072252,125
47205,4.0,0.9971406197842958,126
26842,2.0,0.7185471392562043,127
21275,,0.0,128
27786,4.0,0.9973166659947013,129
32962,4.0,0.9885456977085996,130
49016,4.0,0.9924852024056293,131
20045,,0.0,132
7479,4.0,0.8205294354583668,133
20069,0.0,0.45920042150588447,134
20088,,0.0,135
