comment_id,sentiment,sentiment_confidence,index,respect,respect_confidence,insult,insult_confidence,humiliate,humiliate_confidence,status,status_confidence,dehumanize,dehumanize_confidence,violence,violence_confidence,genocide,genocide_confidence,attack_defend,attack_defend_confidence,hatespeech,hatespeech_confidence
616,,0.0,160,0.0,0.964675627557488,,0.0,4.0,0.5647034657492813,,0.0,4.0,0.7976026435607108,3.0,0.4644438244582244,,0.0,,0.0,0.0,0.5261166625844362
809,0.0,0.6929096998455823,13,0.0,0.997852773718273,4.0,0.9491543366478034,4.0,0.9941899571007312,0.0,0.7056991721181045,4.0,0.9697721926867022,4.0,0.9177035661170416,4.0,0.5067655180072821,4.0,0.8076712126617185,1.0,0.5351322007445168
1253,3.0,0.5829679422638315,8,3.0,0.6829317697783216,2.0,0.5620926039695806,2.0,0.6983545185065303,2.0,0.834099599627035,2.0,0.4644056788381519,0.0,0.8468632407097837,1.0,0.4283266567522952,2.0,0.4260824219109866,1.0,0.9345144270350886
1550,3.0,0.3138015697630608,108,0.0,0.8121207446471784,4.0,0.7320955144565988,4.0,0.5477187018702914,3.0,0.5965011193254441,3.0,0.6372960008136891,3.0,0.4689853021100102,1.0,0.5075953095574707,3.0,0.8055703704338729,1.0,0.8672595478588141
1645,,0.0,143,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
1787,,0.0,184,0.0,0.9726777124782342,,0.0,,0.0,,0.0,,0.0,4.0,0.7951247981758288,,0.0,,0.0,0.0,0.8383617225086052
2009,,0.0,34,0.0,0.9882030920907942,4.0,0.6208218253085638,4.0,0.6480754296427282,,0.0,,0.0,4.0,0.4208384067229511,3.0,0.5637461760729405,4.0,0.5533352554733095,0.0,0.4175710073876979
2088,0.0,0.5093491917254023,136,0.0,0.9990409282756084,4.0,0.9933907825585624,4.0,0.9927727411259932,3.0,0.4109508368047472,4.0,0.5540499938128998,4.0,0.5954416206934687,3.0,0.5760952884552634,4.0,0.9264285907752556,2.0,0.6472443342044524
2173,,0.0,57,0.0,0.6139912446161941,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.7422509631311449
2317,0.0,0.5430918008124221,186,0.0,0.9990937585215852,,0.0,,0.0,,0.0,4.0,0.7033922649457275,4.0,0.4956242505928216,0.0,0.9763671787628876,4.0,0.7761457465499588,0.0,0.720780030459687
2747,3.0,0.4865603608902804,76,2.0,0.5197290737776401,2.0,0.6139605041325306,2.0,0.6775743414568492,3.0,0.4203503310583699,2.0,0.5644493642083855,0.0,0.8707647605692095,0.0,0.721920257846923,3.0,0.831361347847806,1.0,0.8329434060545227
2952,3.0,0.7888451019525976,82,2.0,0.5613318565758909,2.0,0.7399958177594448,2.0,0.7554578869385988,2.0,0.707315396033776,2.0,0.4945036805253281,0.0,0.8660967642147659,0.0,0.7431638301585546,2.0,0.4578138232681942,1.0,0.91229964303244
4145,0.0,0.8467360356488184,105,0.0,0.999370970837274,4.0,0.7740665662767522,4.0,0.8151789693350188,0.0,0.6916830428813229,4.0,0.7826634577744767,4.0,0.9314264275854798,0.0,0.3492219460706304,4.0,0.8524608802627565,0.0,0.6961985059994277
4458,2.0,0.5223164160258343,54,2.0,0.6227797463828277,2.0,0.6830180106840257,2.0,0.6342292693221666,2.0,0.6310475158007847,2.0,0.6002966837391065,1.0,0.5296301703631555,0.0,0.6535520425249165,3.0,0.6127016876791511,1.0,0.916405975410036
4587,0.0,0.930764278717802,121,0.0,0.9996819316122284,4.0,0.9423351401869164,4.0,0.7584996105285845,0.0,0.2724806092417492,4.0,0.7796120027178718,3.0,0.5091834250519831,0.0,0.6778541974467849,4.0,0.8326222127589742,2.0,0.6510300830192134
4762,2.0,0.5255273183408149,98,1.0,0.4651764234522018,2.0,0.720713013108705,2.0,0.7162140702037714,2.0,0.7271330938445787,1.0,0.5367435062737385,0.0,0.9964956494254662,0.0,0.9916361301881608,3.0,0.6354930338751544,1.0,0.8373880059004654
5212,1.0,0.7008122207497292,101,1.0,0.579187449124141,3.0,0.5416798450124927,3.0,0.4769556501745943,1.0,0.49809257268309,3.0,0.4029014773406053,0.0,0.9574068146589572,0.0,0.9916070587154177,3.0,0.8552235386562577,1.0,0.8034839603393307
6032,,0.0,159,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
6214,3.0,0.455439791712977,27,1.0,0.7079654112385414,3.0,0.5426221742768972,3.0,0.4527357158259052,3.0,0.3532455145421308,3.0,0.5911249467620778,2.0,0.3569452662226159,0.0,0.7315622768837313,3.0,0.878165375302333,1.0,0.7616053071943725
6616,3.0,0.8965269414178095,73,3.0,0.943849101672852,2.0,0.4969666885140818,2.0,0.7175370486270729,2.0,0.9810672886940958,1.0,0.5326210731902795,0.0,0.9917629809564086,0.0,0.9891044850507884,1.0,0.5901770729088789,1.0,0.8295103029255765
6827,0.0,0.9744427132581068,150,0.0,0.9995101706986232,4.0,0.9917594646223228,4.0,0.9912381977569568,0.0,0.6975044882783502,4.0,0.972690119444802,4.0,0.995976962187596,4.0,0.9761547173058656,4.0,0.977391594734266,0.0,0.671784942548387
6830,1.0,0.3824695028678624,188,0.0,0.95793400607553,4.0,0.7112242254459455,4.0,0.5741245778377085,1.0,0.292084975682296,3.0,0.495829251956059,3.0,0.4939876119211032,2.0,0.3762072845431446,4.0,0.5965050658588427,1.0,0.5800366973805681
7479,,0.0,133,0.0,0.885513646713952,,0.0,4.0,0.6347462281430759,,0.0,3.0,0.4239319588414824,2.0,0.4953530746845667,2.0,0.3534396535374052,3.0,0.7146200848248496,1.0,0.7490462666188303
8041,0.0,0.9140743046431355,65,0.0,0.9983767436740087,4.0,0.9324904904089664,4.0,0.979195813882258,1.0,0.3073272206680634,4.0,0.5024926292345959,3.0,0.4896797455147348,0.0,0.8937586766309614,4.0,0.8321159238736179,1.0,0.790000671258887
8369,0.0,0.955638593648438,15,0.0,0.9978862475581636,4.0,0.9021040672367686,4.0,0.91963682326517,0.0,0.5149045908887532,4.0,0.799682206320256,4.0,0.816112875923004,2.0,0.2474320106576587,4.0,0.909522120808822,2.0,0.5207901077410463
8503,2.0,0.6789411075156496,80,2.0,0.7414953916533523,2.0,0.676045578916852,2.0,0.6993155134721547,2.0,0.4797216856654444,2.0,0.5574392963104753,1.0,0.4365011655892709,1.0,0.5344358462285848,3.0,0.6101836091613084,1.0,0.9689893893227652
8603,,0.0,92,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
8717,1.0,0.4920548444303735,196,1.0,0.783804050092911,3.0,0.8454694953071779,3.0,0.6860848601395502,2.0,0.393204085897047,3.0,0.6712357976983329,2.0,0.4661670973640043,1.0,0.5576984858985106,3.0,0.977701901158416,1.0,0.9682735663702534
8937,3.0,0.8644368967225379,23,2.0,0.6911348929260265,2.0,0.6529399413953109,2.0,0.7464132711539981,2.0,0.6361352444472895,2.0,0.5321405499567261,0.0,0.9102421749970282,0.0,0.9172242169663034,3.0,0.9017634877332374,1.0,0.9504740074586456
8994,3.0,0.9735523526047994,119,3.0,0.7874363253990713,2.0,0.4504662241267044,1.0,0.4615335308093216,2.0,0.9059126468714988,1.0,0.7154648101750629,0.0,0.998272309765608,0.0,0.9884547246165448,1.0,0.5088159621772546,1.0,0.9175527927840592
9989,0.0,0.9968676050185226,155,0.0,0.999669899274656,4.0,0.9816000762730408,4.0,0.9443299961847604,0.0,0.5265055951152289,2.0,0.3660921591520937,2.0,0.402012878470285,0.0,0.9868911111388202,4.0,0.9688182798287106,1.0,0.6474460940254624
10031,2.0,0.8630132517029458,89,2.0,0.7118977333455394,2.0,0.5014188405645673,2.0,0.4500187516363342,2.0,0.9209749232456762,0.0,0.601800556957525,0.0,0.9968307640237056,0.0,0.9809137934545468,1.0,0.5191764986065897,1.0,0.7705626604776781
10043,,0.0,192,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.8097924119496411,,0.0,,0.0
10476,2.0,0.8454197453843543,75,3.0,0.6715174585130719,2.0,0.4280131833552127,2.0,0.5950620935478499,2.0,0.9756884163944732,0.0,0.5079049735259875,0.0,0.9998320623294904,0.0,0.9863668306714592,1.0,0.7118326025734223,1.0,0.8108467627737929
11064,0.0,0.9224940112437952,17,0.0,0.9892457389502596,4.0,0.8100815248732675,4.0,0.9138903746714494,,0.0,4.0,0.696630910981594,3.0,0.8167833942018813,3.0,0.6647401010828987,4.0,0.8957582835264091,1.0,0.8156819663545565
11248,3.0,0.8431105023501493,46,3.0,0.7994901403503688,2.0,0.525529542340229,2.0,0.7292640342275425,2.0,0.9357521303513178,1.0,0.5152855420127775,0.0,0.99848904358834,0.0,0.9574606935112552,1.0,0.5638185255854978,1.0,0.86123455693983
11466,0.0,0.4487487247281914,59,0.0,0.9853557007930794,4.0,0.5174301645896036,4.0,0.8271724438710282,3.0,0.2978725018223546,4.0,0.627105605065333,3.0,0.7104865588827336,2.0,0.3544797243208847,3.0,0.6987504652919724,1.0,0.6270676858180868
12121,2.0,0.5804800219042616,11,3.0,0.860283678517818,0.0,0.329247757958009,2.0,0.6076534594755745,2.0,0.990528200460144,1.0,0.5447555809131711,0.0,0.9998591144840056,0.0,0.995865345358523,1.0,0.6875844175995499,1.0,0.79361115342388
