comment_id,humiliate,confidence,index
39073,2.0,0.8063590546000579,0
13076,3.0,0.4859073431603363,1
21293,,0.0,2
43507,4.0,0.566164467909877,3
29154,2.0,0.6619799626537438,4
43935,4.0,0.956692170701318,5
20384,4.0,0.9227913489109824,6
15802,4.0,0.9613565628624845,7
1253,2.0,0.7241371291305786,8
20070,4.0,0.9949512375304504,9
20065,2.0,0.5399642727841206,10
12121,2.0,0.5888728404967125,11
38267,3.0,0.4819516666731231,12
809,4.0,0.9929961434438526,13
20021,4.0,0.9661923956435673,14
8369,4.0,0.9844735995296896,15
20043,4.0,0.9955002805216511,16
11064,4.0,0.9556200852255582,17
20004,4.0,0.9382852637168416,18
20048,3.0,0.4179644664409188,19
19671,4.0,0.9985755734069677,20
20012,,0.0,21
42092,4.0,0.6173871713086897,22
8937,2.0,0.7736109496219864,23
19815,4.0,0.9709262893147077,24
41212,4.0,0.9432030087995384,25
20007,4.0,0.9962755207718451,26
6214,4.0,0.49865079400504514,27
37970,2.0,0.6934931309707736,28
20016,,0.0,29
28621,2.0,0.6680683187016222,30
25932,4.0,0.9913983387678799,31
38787,2.0,0.7364948694524562,32
20029,4.0,0.998384586077771,33
2009,4.0,0.9226590013993596,34
38423,,0.0,35
20062,2.0,0.6176790390814173,36
29710,,0.0,37
34899,2.0,0.5376084452883265,38
20064,0.0,0.48804804601105745,39
20028,4.0,0.9829415530619823,40
13756,4.0,0.8878584153291877,41
20067,2.0,0.37394639656070133,42
19343,,0.0,43
23410,3.0,0.5405836621006574,44
20018,4.0,0.9203231048096454,45
11248,2.0,0.7135504818695435,46
15312,4.0,0.9875233560825518,47
20014,4.0,0.9958874542148126,48
20053,2.0,0.6731884799344402,49
42897,4.0,0.5145022702388465,50
20033,,0.0,51
26548,4.0,0.7682086531719058,52
20034,4.0,0.9930489240916252,53
4458,2.0,0.505813970175306,54
42704,4.0,0.9928766147251314,55
43793,4.0,0.9187774370899371,56
2173,4.0,0.9082967180798083,57
49597,4.0,0.9947639925521404,58
11466,4.0,0.9628147254728271,59
20005,,0.0,60
42470,4.0,0.9985364669120359,61
42646,4.0,0.9866515308884385,62
20009,,0.0,63
48425,4.0,0.9798713418447346,64
8041,4.0,0.9825106348062164,65
16493,2.0,0.5349387842547565,66
20057,,0.0,67
20055,2.0,0.7060295487305918,68
13674,4.0,0.9114831257147584,69
22918,4.0,0.8758113725299165,70
20020,4.0,0.9921841001361187,71
24631,4.0,0.8912774466562114,72
6616,2.0,0.6737871927169049,73
17732,2.0,0.7004455197446757,74
10476,2.0,0.5426065529284206,75
2747,2.0,0.6907060846327739,76
15026,4.0,0.9988734314781195,77
31779,2.0,0.581310722265513,78
