insult,confidence,comment_id,index
2.0,0.7028741734779516,39073,0
3.0,0.6900178096441023,13076,1
,0.0,21293,2
3.0,0.5951963923077969,43507,3
2.0,0.651739697800629,29154,4
3.0,0.5586525985655072,43935,5
,0.0,20384,6
4.0,0.8261823606297704,15802,7
2.0,0.7904921018899894,1253,8
4.0,0.9857952602414616,20070,9
1.0,0.771189319370882,20065,10
1.0,0.49014988477493887,12121,11
3.0,0.7334492496135786,38267,12
4.0,0.7432363684248333,809,13
4.0,0.9781940802760929,20021,14
4.0,0.9503930330042332,8369,15
4.0,0.9344051333536103,20043,16
4.0,0.5977413297817452,11064,17
4.0,0.5247526866959825,20004,18
3.0,0.6452925161507796,20048,19
4.0,0.9916720008630658,19671,20
,0.0,20012,21
,0.0,42092,22
3.0,0.7742875525185865,8937,23
,0.0,19815,24
4.0,0.6636716529956748,41212,25
4.0,0.9458735262265813,20007,26
3.0,0.8217833993654774,6214,27
2.0,0.7995210083880535,37970,28
,0.0,20016,29
3.0,0.8053158432253005,28621,30
4.0,0.7210208717882464,25932,31
2.0,0.6175217788462962,38787,32
4.0,0.9908765179117988,20029,33
4.0,0.5711979293202067,2009,34
,0.0,38423,35
2.0,0.7216641683918238,20062,36
,0.0,29710,37
3.0,0.8703341744116893,34899,38
1.0,0.9889657206424046,20064,39
4.0,0.5118963324635568,20028,40
3.0,0.5690207926451296,13756,41
1.0,0.9914240007007794,20067,42
,0.0,19343,43
3.0,0.7320016588069077,23410,44
,0.0,20018,45
2.0,0.8053725338875828,11248,46
4.0,0.974658961267863,15312,47
4.0,0.9803981311810372,20014,48
3.0,0.7226035069319059,20053,49
3.0,0.704995431550779,42897,50
,0.0,20033,51
,0.0,26548,52
4.0,0.9844863109932783,20034,53
3.0,0.859922188225289,4458,54
4.0,0.9221735528999715,42704,55
4.0,0.9117189017026627,43793,56
4.0,0.8332840437261542,2173,57
4.0,0.9523620776472134,49597,58
4.0,0.8806378956161517,11466,59
,0.0,20005,60
4.0,0.9594805527600013,42470,61
4.0,0.9611669929875017,42646,62
,0.0,20009,63
4.0,0.6102972753009385,48425,64
4.0,0.8073679695465278,8041,65
1.0,0.59947079508009,16493,66
,0.0,20057,67
2.0,0.8206734436050187,20055,68
4.0,0.5316416053662527,13674,69
4.0,0.978698857693619,22918,70
4.0,0.9157666152791092,20020,71
4.0,0.9857590008102878,24631,72
1.0,0.5496191820420077,6616,73
2.0,0.7251512376695199,17732,74
2.0,0.5382114981189074,10476,75
2.0,0.6999411132890723,2747,76
4.0,0.9955890105334771,15026,77
1.0,0.7483954229917916,31779,78
4.0,0.6608470353682783,30261,79
3.0,0.6828073635106383,8503,80
,0.0,30061,81
2.0,0.7305491306354157,2952,82
4.0,0.8915039309333536,25918,83
4.0,0.6987098797411321,18090,84
,0.0,23301,85
1.0,0.9822545427569386,39711,86
3.0,0.9128668249308088,20052,87
2.0,0.8082909040192451,18496,88
2.0,0.53806799175858,10031,89
2.0,0.8812192447829703,38528,90
,0.0,28547,91
,0.0,8603,92
3.0,0.6568929552747222,17157,93
4.0,0.9453510000419398,45259,94
3.0,0.48428564491660414,41924,95
,0.0,15118,96
,0.0,20010,97
2.0,0.8427872597120585,4762,98
3.0,0.8646138498070917,36873,99
4.0,0.5648573081002582,20015,100
3.0,0.6936979161628477,5212,101
,0.0,25804,102
4.0,0.8403789460807272,25862,103
4.0,0.9897003351142053,23517,104
4.0,0.6602839457119907,4145,105
,0.0,21006,106
4.0,0.6664939825582957,39561,107
4.0,0.7699713205110055,1550,108
4.0,0.8229847791449976,29939,109
4.0,0.9819099593724328,20013,110
2.0,0.6952532318405723,22394,111
,0.0,34734,112
2.0,0.8722251720878516,40455,113
,0.0,20068,114
4.0,0.9113953892035481,21406,115
3.0,0.6854482340626121,30665,116
4.0,0.7114017228180215,20026,117
2.0,0.7190890843480178,20059,118
2.0,0.49704178474801375,8994,119
3.0,0.6842454714987591,20024,120
4.0,0.8965623976811233,4587,121
2.0,0.6331760267924158,26493,122
,0.0,20038,123
4.0,0.9931449784549184,43442,124
4.0,0.9808643590092514,16178,125
4.0,0.9962453490441906,47205,126
2.0,0.5440173250142415,26842,127
,0.0,21275,128
4.0,0.8993914518920446,27786,129
4.0,0.7515720235484006,32962,130
4.0,0.9316096181259578,49016,131
,0.0,20045,132
,0.0,7479,133
1.0,0.8013491578432899,20069,134
,0.0,20088,135
4.0,0.9722613791393506,2088,136
3.0,0.6020642600135987,18346,137
,0.0,26170,138
2.0,0.825621461490549,36180,139
,0.0,20008,140
4.0,0.6368620089246252,22489,141
4.0,0.9162746460957187,19431,142
,0.0,1645,143
2.0,0.6087664360502125,28525,144
4.0,0.8543717453970975,20017,145
,0.0,28203,146
2.0,0.7013618588638401,12852,147
,0.0,31411,148
2.0,0.7983926757415437,17197,149
4.0,0.9864153141713612,6827,150
3.0,0.7344250929279655,13252,151
3.0,0.7019966325966075,28929,152
4.0,0.6469136250695086,24983,153
3.0,0.6996592072017298,20925,154
4.0,0.9824359562022401,9989,155
2.0,0.7285000365619055,23012,156
,0.0,20685,157
1.0,0.9523081238498122,20061,158
,0.0,6032,159
4.0,0.7721491904009621,616,160
2.0,0.9096235091952442,46051,161
4.0,0.7724403680652521,23093,162
4.0,0.9036176591635231,20851,163
4.0,0.7113943235597033,20025,164
3.0,0.7637359328820806,20054,165
3.0,0.726999292332765,39129,166
2.0,0.7231541794993297,18417,167
2.0,0.7236981974148496,47401,168
1.0,0.7982101969563228,47047,169
3.0,0.8869793387993671,28486,170
,0.0,30007,171
3.0,0.5469243016819652,20998,172
3.0,0.8194395012914188,20050,173
2.0,0.8228366993017737,32127,174
,0.0,17959,175
4.0,0.9337044482090601,12278,176
3.0,0.8298593055848075,48434,177
4.0,0.8731431118583417,23725,178
,0.0,38133,179
3.0,0.6115725855409473,19687,180
2.0,0.8517558823215654,19040,181
4.0,0.880789565722804,38354,182
,0.0,27791,183
4.0,0.8126239373758095,1787,184
3.0,0.5292683936337704,26953,185
,0.0,2317,186
3.0,0.875164275522428,20041,187
4.0,0.663062543032084,6830,188
3.0,0.8821780408596923,48629,189
,0.0,38703,190
,0.0,19705,191
,0.0,10043,192
,0.0,14213,193
3.0,0.8572930230131295,46750,194
,0.0,39511,195
3.0,0.9494086072162441,8717,196
,0.0,13734,197
4.0,0.9755141379261378,48979,198
3.0,0.6232556281545213,28698,199
