comment_id,dehumanize,confidence,index,raw_reasoning
39073,2.0,0.6120398671568797,0,
13076,2.0,0.5809284636359194,1,
21293,,0.5131102008900835,2,I cannot provide a response that promotes or condones
43507,3.0,0.3041262445791745,3,
29154,2.0,0.48648647129728567,4,
43935,3.0,0.9165775047063974,5,
20384,3.0,0.826966615798205,6,
15802,3.0,0.796473208469554,7,
1253,2.0,0.5399713533938522,8,
20070,3.0,0.8218776096036968,9,
20065,0.0,0.7172320240918327,10,
12121,1.0,0.4966127189480251,11,
38267,3.0,0.8322537060518101,12,
809,3.0,0.7655332810710537,13,
20021,4.0,0.7480624549256907,14,
8369,4.0,0.6340163796046329,15,
20043,3.0,0.49063600383002204,16,
11064,3.0,0.8752924906300275,17,
20004,4.0,0.8588012216379283,18,
20048,3.0,0.8660719982475239,19,
19671,3.0,0.6556538677798304,20,
20012,,0.7880420884098747,21,I cannot provide a response that promotes or condones
42092,3.0,0.4514626764782365,22,
8937,2.0,0.5877141171588783,23,
19815,3.0,0.754587824065147,24,
41212,3.0,0.8332009415595218,25,
20007,3.0,0.8133683059619048,26,
6214,3.0,0.7822394274501294,27,
37970,1.0,0.5581959660525734,28,
20016,,0.717327043060477,29,I cannot provide a response that promotes hate speech or
28621,3.0,0.41538963881213925,30,
25932,3.0,0.5376428616033817,31,
38787,1.0,0.45030429476633166,32,
20029,4.0,0.6677946522621503,33,
2009,3.0,0.7958144894560445,34,
38423,4.0,0.8577552454068172,35,
20062,0.0,0.6399329075243486,36,
29710,3.0,0.42475701305613994,37,
34899,2.0,0.5748126163424305,38,
20064,0.0,0.9330713304275887,39,
20028,4.0,0.46848427618452565,40,
13756,3.0,0.7413138322794347,41,
20067,0.0,0.8152972422085377,42,
19343,,0.7779617966333517,43,I cannot provide a response that promotes or glorifies
23410,2.0,0.6986234064381405,44,
20018,4.0,0.9158738926576714,45,
11248,1.0,0.46535177226191665,46,
15312,3.0,0.8115335481783352,47,
20014,3.0,0.790814318256862,48,
20053,2.0,0.5189456358925395,49,
42897,3.0,0.754316414570447,50,
20033,,0.8712339348747004,51,I cannot provide a response that promotes or condones
26548,3.0,0.8865099085295165,52,
20034,4.0,0.9128802305646991,53,
4458,2.0,0.6123195717012837,54,
42704,3.0,0.6249255324801761,55,
43793,3.0,0.8314607199351491,56,
2173,4.0,0.9564370397283478,57,
49597,3.0,0.8207197683162007,58,
11466,3.0,0.8247520066986594,59,
20005,,0.7364104354989632,60,I cannot provide a response that promotes or glorifies
42470,3.0,0.856635469671564,61,
42646,3.0,0.5572801001926054,62,
20009,,0.843695942907483,63,I cannot provide a response that promotes hate speech or
48425,3.0,0.7790761380067371,64,
8041,3.0,0.7265519132919852,65,
16493,0.0,0.5028205786984311,66,
20057,,0.8984734430271105,67,I cannot provide a response that promotes or condones
20055,2.0,0.5282456875651133,68,
13674,3.0,0.848584296294459,69,
22918,3.0,0.8009002768901821,70,
20020,3.0,0.8506882535793019,71,
24631,4.0,0.9953235765248944,72,
6616,1.0,0.5378969182995869,73,
17732,3.0,0.4923546756116531,74,
10476,0.0,0.44188164072888064,75,
2747,2.0,0.4822385579821123,76,
15026,3.0,0.8197812984095729,77,
31779,1.0,0.5798147819445862,78,
30261,3.0,0.6637685571777824,79,
8503,2.0,0.4832122249903738,80,
30061,,0.9188987254957625,81,I cannot provide a response that promotes or condones
2952,2.0,0.6882084653033439,82,
