comment_id,attack_defend,confidence,index
39073,3.0,0.5952326858426291,0
13076,3.0,0.8378381228807528,1
21293,,0.0,2
43507,3.0,0.7464466169273949,3
29154,2.0,0.5049555172017791,4
43935,4.0,0.9523936467191355,5
20384,4.0,0.5459232164968338,6
15802,3.0,0.6938993496496161,7
1253,3.0,0.6512859514048404,8
20070,4.0,0.9679285582240739,9
20065,1.0,0.7125516198976011,10
12121,1.0,0.6831575213288242,11
38267,3.0,0.9236464585506798,12
809,4.0,0.8168039878290528,13
20021,4.0,0.8872292550209628,14
8369,4.0,0.8827943977377244,15
20043,4.0,0.9701093145883759,16
11064,4.0,0.9695149640423089,17
20004,4.0,0.9255783187176911,18
20048,3.0,0.8699190841878088,19
19671,4.0,0.9902780819862618,20
20012,,0.0,21
42092,,0.0,22
8937,3.0,0.930114214994876,23
19815,4.0,0.9158506920578681,24
41212,3.0,0.6450481529118628,25
20007,4.0,0.8625475661086751,26
6214,3.0,0.5430893082670141,27
37970,3.0,0.49960405323747137,28
20016,,0.0,29
28621,3.0,0.9626803638957634,30
25932,4.0,0.6333808384098703,31
38787,3.0,0.7674878179140399,32
20029,4.0,0.9737885525719572,33
2009,4.0,0.6862034829888158,34
38423,,0.0,35
20062,1.0,0.6535622877011377,36
29710,4.0,0.5202400634968647,37
34899,3.0,0.954179931468813,38
20064,1.0,0.8007515171733778,39
20028,4.0,0.886359003420799,40
13756,3.0,0.43127094816447686,41
20067,1.0,0.7533968310828545,42
19343,,0.0,43
23410,3.0,0.8063172891563033,44
20018,4.0,0.7658105066768114,45
11248,1.0,0.5159550375246831,46
15312,4.0,0.7676706629355172,47
20014,4.0,0.9379840448452265,48
20053,3.0,0.6346760124506708,49
42897,3.0,0.909492928253757,50
20033,,0.0,51
26548,3.0,0.5784769683043491,52
20034,4.0,0.9545636562861691,53
4458,3.0,0.7332954475406357,54
42704,4.0,0.8669860849205356,55
43793,4.0,0.9733284636867358,56
2173,4.0,0.9168607075386936,57
49597,4.0,0.9456159188179912,58
11466,3.0,0.6770469971006392,59
