comment_id,status,confidence,index
39073,2.0,0.5882886526441342,0
13076,2.0,0.47359374170123236,1
21293,,0.0,2
43507,1.0,0.41444187670007715,3
29154,2.0,0.903091077182819,4
43935,0.0,0.6397278074867023,5
20384,,0.0,6
15802,3.0,0.47154642763488536,7
1253,2.0,0.8420202338391907,8
20070,0.0,0.6871126167231206,9
20065,2.0,0.9726809845104194,10
12121,2.0,0.9895135438273633,11
38267,3.0,0.5412551517590957,12
809,0.0,0.786793931970907,13
20021,,0.0,14
8369,0.0,0.5113127991818602,15
20043,,0.0,16
11064,3.0,0.23023269471238852,17
20004,,0.0,18
20048,2.0,0.5588395664437243,19
19671,0.0,0.9175418479313802,20
20012,,0.0,21
42092,,0.0,22
8937,2.0,0.6914779251512276,23
19815,,0.0,24
41212,3.0,0.34401598787728727,25
20007,0.0,0.6573504121254191,26
6214,3.0,0.3049744431222667,27
37970,2.0,0.7174592996322878,28
20016,,0.0,29
28621,2.0,0.6206382392834568,30
25932,0.0,0.4766807095083967,31
38787,2.0,0.9578099808914984,32
20029,0.0,0.9145096803858495,33
2009,,0.0,34
38423,,0.0,35
20062,2.0,0.9131076870437463,36
29710,,0.0,37
34899,2.0,0.6539419593723282,38
20064,2.0,0.9993146589532793,39
20028,,0.0,40
13756,0.0,0.3882074601453083,41
20067,2.0,0.9810764676679122,42
19343,,0.0,43
23410,2.0,0.7538977213166054,44
20018,,0.0,45
11248,2.0,0.958199134891949,46
15312,0.0,0.45367407012397265,47
20014,0.0,0.6621580366764528,48
20053,2.0,0.7545382161319316,49
42897,2.0,0.33390749548587906,50
20033,,0.0,51
26548,,0.0,52
20034,,0.0,53
4458,2.0,0.6057047145487328,54
42704,,0.0,55
43793,0.0,0.9030047472476795,56
2173,,0.0,57
49597,0.0,0.9421092894487041,58
11466,3.0,0.266544040060982,59
20005,,0.0,60
42470,0.0,0.9833446049584319,61
42646,0.0,0.5853420631064317,62
20009,,0.0,63
48425,0.0,0.4535123932702663,64
8041,0.0,0.36921416077880487,65
16493,2.0,0.9935550332159121,66
20057,,0.0,67
20055,2.0,0.9639781240862123,68
13674,0.0,0.32203193454188095,69
22918,3.0,0.40268614616697185,70
20020,0.0,0.6293853174795544,71
24631,,0.0,72
6616,2.0,0.9946486372384796,73
17732,2.0,0.5186364741809208,74
10476,2.0,0.9789541284693479,75
2747,3.0,0.35246065452843195,76
15026,0.0,0.8995420156019288,77
31779,2.0,0.9887359693577544,78
30261,1.0,0.3421033325609087,79
8503,,0.0,80
30061,,0.0,81
2952,2.0,0.7368767098891267,82
25918,0.0,0.7577963545692873,83
18090,,0.0,84
23301,,0.0,85
39711,2.0,0.9918116447165402,86
20052,2.0,0.8454064422799079,87
18496,2.0,0.8930914654827418,88
10031,2.0,0.9098468664516995,89
38528,1.0,0.45906312434718977,90
28547,,0.0,91
8603,,0.0,92
17157,2.0,0.2861289735090317,93
45259,0.0,0.612721481766495,94
41924,2.0,0.7252854772002373,95
15118,,0.0,96
20010,,0.0,97
4762,2.0,0.7990805696536217,98
36873,2.0,0.6044209971384685,99
20015,0.0,0.4716005635863774,100
5212,1.0,0.4406508619843378,101
25804,,0.0,102
25862,3.0,0.34775626475565563,103
23517,0.0,0.7137135002507723,104
4145,0.0,0.81602293790478,105
21006,,0.0,106
39561,0.0,0.8605856883798916,107
